token,rating,date,version,used_count
very,5,2019-01-28,6.7,2
very,5,2020-05-19,8.8,1
very,5,2020-05-19,,1
very,5,2020-02-01,8.2,2
very,5,2020-03-09,8.2,2
very,5,2019-04-04,7.02,1
very,5,2019-04-25,7.4,1
very,5,2019-01-13,6.7,1
very,5,2019-03-03,6.9,1
very,5,2019-01-23,6.7,1
very,5,2019-05-25,7.5,1
very,5,2019-05-28,7.5,1
very,5,2019-06-16,7.6,1
very,5,2019-04-26,7.4,2
very,5,2019-06-11,7.6,2
very,5,2019-10-04,,1
very,5,2019-10-04,8.0,1
very,5,2019-05-13,7.4,1
very,5,2019-05-13,,1
very,5,2019-08-26,7.7,1
very,5,2019-06-06,7.6,2
very,5,2020-04-20,8.7,2
very,5,2019-06-07,7.6,1
very,5,2018-12-08,6.6,1
very,5,2019-09-19,7.91,1
very,5,2019-06-18,7.6,1
very,5,2019-07-11,7.7,1
very,5,2019-01-08,6.6,1
very,5,2019-07-28,7.7,1
very,5,2019-07-28,,1
very,5,2019-07-27,7.7,2
very,5,2019-08-04,7.7,1
very,5,2019-01-06,6.6,1
very,5,2019-07-23,7.7,1
very,5,2018-12-23,6.6,1
very,5,2019-02-06,,1
very,5,2019-02-06,6.8,1
very,5,2019-11-08,8.0,2
very,5,2019-06-14,7.6,1
very,5,2019-09-26,7.91,1
very,5,2019-09-26,,1
very,5,2019-05-29,7.5,1
very,5,2019-07-21,7.7,2
very,5,2019-07-21,,1
very,5,2019-01-04,,1
very,5,2019-01-04,6.6,1
very,5,2020-05-05,8.8,2
very,5,2020-05-05,,1
very,5,2019-10-09,8.0,2
very,5,2019-07-30,7.7,1
very,5,2019-04-23,7.4,1
very,5,2019-03-17,7.02,1
very,5,2019-03-17,,1
very,5,2019-11-05,8.0,1
very,5,2019-08-16,7.7,1
very,5,2020-11-17,9.2,3
very,5,2020-11-18,9.2,3
very,5,2020-11-18,9.0,2
very,5,2020-07-14,8.8,1
very,5,2020-05-13,8.8,1
very,5,2020-05-13,,1
very,5,2020-01-08,8.2,1
very,5,2020-03-22,8.2,1
very,5,2019-12-14,8.2,1
very,5,2020-02-22,8.2,1
very,5,2020-02-09,8.2,1
very,5,2020-02-05,8.2,1
very,5,2020-02-17,8.2,2
very,5,2020-02-28,8.2,1
very,5,2020-01-20,8.2,1
very,5,2019-11-21,8.0,1
very,5,2019-11-17,8.0,1
very,5,2019-10-02,8.0,1
very,5,2019-11-06,8.0,1
very,5,2019-10-07,8.0,1
very,5,2019-11-20,8.0,1
very,5,2019-11-24,8.0,1
very,5,2019-09-17,7.91,1
very,5,2019-07-20,7.7,2
very,5,2019-07-22,7.7,2
very,5,2019-07-16,7.7,1
very,5,2019-07-19,7.7,1
very,5,2019-07-19,,1
very,5,2019-07-18,7.7,2
very,5,2019-08-02,7.7,1
very,5,2019-08-25,7.7,1
very,5,2019-08-23,7.7,1
very,5,2019-08-27,7.7,1
very,5,2019-06-28,7.6,1
very,5,2019-05-21,7.5,2
very,5,2019-06-01,7.5,4
very,5,2019-07-09,7.5,1
very,5,2019-05-23,7.5,1
very,5,2019-05-10,7.5,1
very,5,2019-05-17,7.5,2
very,5,2019-05-26,7.5,1
very,5,2019-06-03,7.5,1
very,5,2019-04-28,7.4,1
very,5,2019-04-28,,1
very,5,2019-05-20,7.4,1
very,5,2019-04-18,7.4,2
very,5,2019-04-29,7.4,2
very,5,2019-05-04,7.4,1
very,5,2019-04-16,7.1,2
very,5,2019-04-13,7.02,3
very,5,2019-03-30,7.02,1
very,5,2019-03-19,7.02,1
very,5,2019-03-21,7.02,1
very,5,2019-03-23,7.02,2
very,5,2019-04-12,7.02,2
very,5,2019-03-31,7.02,2
very,5,2019-03-26,7.02,1
very,5,2019-04-07,7.02,1
very,5,2019-03-29,7.02,1
very,5,2019-03-29,,1
very,5,2019-02-27,6.9,1
very,5,2019-02-26,6.9,1
very,5,2019-02-15,6.9,2
very,5,2019-02-20,6.9,1
very,5,2019-03-09,6.9,1
very,5,2019-02-18,6.9,1
very,5,2019-02-22,6.9,2
very,5,2019-02-17,6.9,1
very,5,2019-03-02,6.9,1
very,5,2019-02-24,6.9,1
very,5,2019-02-10,6.8,2
very,5,2019-02-13,6.8,1
very,5,2018-12-21,6.6,1
very,5,2019-01-05,6.6,1
very,5,2018-12-16,,1
very,5,2018-12-16,,1
very,5,2019-05-12,,2
very,5,2019-07-17,,1
very,5,2019-02-19,,1
very,5,2019-02-19,,1
very,5,2019-03-18,,1
very,5,2020-02-07,,1
very,5,2019-03-04,,1
very,5,2019-08-31,,1
good,5,2020-11-16,9.2,36
good,5,2020-11-16,,1
good,5,2020-11-04,9.2,3
good,5,2020-11-04,,1
good,5,2020-11-04,,1
good,5,2020-10-20,9.2,6
good,5,2020-10-20,9.0,1
good,5,2020-11-05,9.2,3
good,5,2020-11-05,,1
good,5,2020-11-05,,1
good,5,2020-11-05,,1
good,5,2020-11-03,9.2,4
good,5,2020-11-08,9.2,5
good,5,2020-10-23,9.2,3
good,5,2020-11-14,9.2,2
good,5,2020-11-14,,1
good,5,2020-11-14,,1
good,5,2020-10-16,9.0,7
good,5,2020-11-02,9.2,3
good,5,2020-10-30,9.2,5
good,5,2020-10-30,,1
good,5,2020-10-30,,1
good,5,2020-10-19,9.0,1
good,5,2020-11-15,9.2,5
good,5,2020-10-21,9.2,6
good,5,2020-10-21,,1
good,5,2020-10-21,,1
good,5,2020-11-07,9.2,5
good,5,2020-10-17,9.0,3
good,5,2020-10-11,9.0,3
good,5,2020-10-11,,1
good,5,2020-10-22,9.2,4
good,5,2020-10-22,9.0,2
good,5,2020-10-25,9.2,8
good,5,2020-10-25,,1
good,5,2020-10-25,,1
good,5,2020-10-25,,1
good,5,2020-10-15,9.0,4
good,5,2020-10-15,,1
good,5,2020-10-15,,1
good,5,2020-10-31,9.2,3
good,5,2020-11-06,,1
good,5,2020-11-06,,1
good,5,2020-11-06,,1
good,5,2020-11-06,9.2,1
good,5,2020-11-06,,1
good,5,2020-10-13,9.0,2
good,5,2020-10-12,9.0,3
good,5,2020-10-12,,1
good,5,2020-06-04,,1
good,5,2020-06-04,,1
good,5,2020-06-04,8.8,6
good,5,2020-06-02,,1
good,5,2020-06-02,8.8,5
good,5,2020-06-02,,1
